priority,channel,target,url,status,owner,date_submitted,date_live,landing_url,utm_url,anchor_or_listing_phrase,notes
P0,Business profile,Google Business Profile,https://www.google.com/business/,not_started,,,,https://serviio.ai/,https://serviio.ai/?utm_source=google_business_profile&utm_medium=organic_listing&utm_campaign=free_search_marketing,AI phone ordering for restaurants,"Create service-area profile if eligible; add phone, website, logo, services, and posts."
P0,Business profile,Bing Places for Business,https://www.bingplaces.com/,not_started,,,,https://serviio.ai/,https://serviio.ai/?utm_source=bing_places&utm_medium=organic_listing&utm_campaign=free_search_marketing,Restaurant AI phone answering,Mirror Google listing details; verify NAP and website.
P0,Business profile,Apple Business Connect,https://businessconnect.apple.com/,not_started,,,,https://serviio.ai/,https://serviio.ai/?utm_source=apple_business_connect&utm_medium=organic_listing&utm_campaign=free_search_marketing,AI phone ordering for restaurants,"Add logo, description, service area, phone, website, and action link."
P0,Webmaster tool,Google Search Console sitemap,https://search.google.com/search-console,not_started,,,,https://serviio.ai/sitemap.xml,https://serviio.ai/sitemap.xml?utm_source=google_search_console&utm_medium=indexing&utm_campaign=free_search_marketing,Submit sitemap,Submit sitemap and request indexing for priority URLs from npm run indexing:urls.
P0,Webmaster tool,Bing Webmaster Tools sitemap,https://www.bing.com/webmasters/,not_started,,,,https://serviio.ai/sitemap.xml,https://serviio.ai/sitemap.xml?utm_source=bing_webmaster_tools&utm_medium=indexing&utm_campaign=free_search_marketing,Submit sitemap,Submit sitemap and highest-priority POS and Chinese restaurant URLs.
P1,Educational resource listing,Restaurant tech resource pages,,not_started,,,,https://serviio.ai/guides/restaurant-ai-phone-ordering-pos-guide/,https://serviio.ai/guides/restaurant-ai-phone-ordering-pos-guide/?utm_source=educational_resource_listing&utm_medium=organic_listing&utm_campaign=free_search_marketing,Restaurant AI phone ordering POS guide,"Use for directories, newsletters, and resource pages that prefer educational links over product pages."
P1,AI directory,AI tool directories,,not_started,,,,https://serviio.ai/restaurant-ai-phone-order-taker/,https://serviio.ai/restaurant-ai-phone-order-taker/?utm_source=ai_directory&utm_medium=organic_listing&utm_campaign=free_search_marketing,Restaurant AI phone order taker,Use short listing description; find free AI tool and SaaS directories.
P1,AI directory,AI phone-order directories,,not_started,,,,https://serviio.ai/chinese-restaurant-ai-order-taker/,https://serviio.ai/chinese-restaurant-ai-order-taker/?utm_source=ai_order_taker_directory&utm_medium=organic_listing&utm_campaign=free_search_marketing,Chinese restaurant AI order taker,Use for AI tool directories that allow vertical-specific listings; emphasize bilingual phone orders and POS-ready handoff.
P1,AI directory,ListAi.cc,https://listai.cc/submit,not_started,,,,https://serviio.ai/chinese-restaurant-ai-order-taker/,https://serviio.ai/chinese-restaurant-ai-order-taker/?utm_source=listai_cc&utm_medium=organic_listing&utm_campaign=free_search_marketing,Chinese restaurant AI order taker,"Free AI tool submission; use restaurant, voice AI, phone answering, or automation category if available."
P1,AI directory,The Next AI,https://www.thenextai.com/submit-ai-tool/,not_started,,,,https://serviio.ai/chinese-restaurant-pos-ai-phone-agent/,https://serviio.ai/chinese-restaurant-pos-ai-phone-agent/?utm_source=the_next_ai&utm_medium=organic_listing&utm_campaign=free_search_marketing,Chinese restaurant POS AI phone agent,Free basic AI tool listing; emphasize POS-ready restaurant phone ordering and bilingual Chinese restaurant workflows.
