position,profile_platform,profile_item_type,item_name,destination_url,authority_reason,authority_media_kit_url,lead_route,expected_lead_acquisition_channel,next_step,copy_paste_payload,evidence_needed,tracker_command
1,Google Business Profile,profile_core,Serviio profile,https://serviio.ai/?utm_source=google_business_profile&utm_medium=organic_listing&utm_campaign=free_search_marketing,P0 profile authority and inbound restaurant-owner lead source,https://serviio.ai/authority-media-kit/,"Ask every inbound owner which POS system they use; prioritize 39 Miles, Square, Toast, Clover, MenuSifu, Chowbus, and Mealkeyway users.",business_profile,"Create or claim Google Business Profile, add Serviio NAP, service-area fields, POS/Chinese restaurant positioning, and profile verification evidence.","Business description: Serviio is an AI phone ordering system for restaurants. It answers calls 24/7, takes orders in natural conversation, supports English and Chinese, and helps restaurants connect phone orders to POS-ready kitchen workflows. Primary category: Software company Services: POS-integrated AI phone ordering; Chinese restaurant AI phone answering; restaurant phone order taker AI; Mandarin and English phone ordering support Website: https://serviio.ai/ unless Google accepts the UTM profile URL Authority media kit: https://serviio.ai/authority-media-kit/","dashboard confirmation screenshot, account_or_login, submitted_date, verification status, live profile URL when available","npm run marketing:mark -- --target ""Google Business Profile"" --status submitted --date 2026-06-21 --note ""Created or claimed business profile item; capture dashboard confirmation and live URL when available."""
2,Google Business Profile,product_card,39 Miles AI phone ordering,https://serviio.ai/pos/39-miles-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,POS-specific profile content that reinforces restaurant AI phone ordering relevance,https://serviio.ai/authority-media-kit/,"Ask every inbound owner which POS system they use; prioritize 39 Miles, Square, Toast, Clover, MenuSifu, Chowbus, and Mealkeyway users.",business_profile,"Add 39 Miles AI phone ordering as a product, service, or showcase card on Google Business Profile.","AI phone ordering workflow for Chinese restaurants using 39 Miles POS. Serviio answers calls, captures order details, and qualifies POS-ready workflows for takeout-heavy restaurants.","product_card_url if available, product_destination_url, dashboard confirmation screenshot, account_or_login, submitted_date","npm run marketing:mark -- --target ""Google Business Profile"" --status submitted --date 2026-06-21 --note ""Created or claimed business profile item; capture dashboard confirmation and live URL when available."""
3,Google Business Profile,product_card,MenuSifu AI phone ordering,https://serviio.ai/pos/menusifu-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,POS-specific profile content that reinforces restaurant AI phone ordering relevance,https://serviio.ai/authority-media-kit/,"Ask every inbound owner which POS system they use; prioritize 39 Miles, Square, Toast, Clover, MenuSifu, Chowbus, and Mealkeyway users.",business_profile,"Add MenuSifu AI phone ordering as a product, service, or showcase card on Google Business Profile.",AI phone ordering workflow for Chinese restaurants using MenuSifu POS. Serviio helps bilingual callers place phone orders while staff focus on dine-in and kitchen operations.,"product_card_url if available, product_destination_url, dashboard confirmation screenshot, account_or_login, submitted_date","npm run marketing:mark -- --target ""Google Business Profile"" --status submitted --date 2026-06-21 --note ""Created or claimed business profile item; capture dashboard confirmation and live URL when available."""
4,Google Business Profile,profile_post,AI phone ordering for POS-ready restaurants,https://serviio.ai/chinese-restaurant-pos-ai-phone-agent/?utm_source=business_profile_post&utm_medium=organic_listing&utm_campaign=free_search_marketing,POS-specific profile content that reinforces restaurant AI phone ordering relevance,https://serviio.ai/authority-media-kit/,"Ask every inbound owner which POS system they use; prioritize 39 Miles, Square, Toast, Clover, MenuSifu, Chowbus, and Mealkeyway users.",business_profile,Publish or queue the AI phone ordering for POS-ready restaurants profile update on Google Business Profile.,"Serviio helps restaurants answer phone orders 24/7, capture pickup details, and evaluate POS-ready workflows for systems such as 39 Miles, Square, Toast, Clover, MenuSifu, Chowbus, and Mealkeyway.","profile_post_url if available, post_destination_url, dashboard confirmation screenshot, account_or_login, submitted_date","npm run marketing:mark -- --target ""Google Business Profile"" --status submitted --date 2026-06-21 --note ""Created or claimed business profile item; capture dashboard confirmation and live URL when available."""
5,Google Business Profile,profile_post,Bilingual phone answering for Chinese restaurants,https://serviio.ai/chinese-restaurant-ai-phone-ordering/?utm_source=business_profile_post&utm_medium=organic_listing&utm_campaign=free_search_marketing,POS-specific profile content that reinforces restaurant AI phone ordering relevance,https://serviio.ai/authority-media-kit/,"Ask every inbound owner which POS system they use; prioritize 39 Miles, Square, Toast, Clover, MenuSifu, Chowbus, and Mealkeyway users.",business_profile,Publish or queue the Bilingual phone answering for Chinese restaurants profile update on Google Business Profile.,"For Chinese restaurants with lunch and dinner rush phone volume, Serviio can answer in English and Chinese, ask about modifiers, confirm pickup details, and reduce missed-call pressure on staff.","profile_post_url if available, post_destination_url, dashboard confirmation screenshot, account_or_login, submitted_date","npm run marketing:mark -- --target ""Google Business Profile"" --status submitted --date 2026-06-21 --note ""Created or claimed business profile item; capture dashboard confirmation and live URL when available."""
6,Google Business Profile,profile_post,Estimate missed-call revenue before a demo,https://serviio.ai/restaurant-missed-call-revenue-calculator/?utm_source=business_profile_post&utm_medium=organic_listing&utm_campaign=free_search_marketing,POS-specific profile content that reinforces restaurant AI phone ordering relevance,https://serviio.ai/authority-media-kit/,"Ask every inbound owner which POS system they use; prioritize 39 Miles, Square, Toast, Clover, MenuSifu, Chowbus, and Mealkeyway users.",business_profile,Publish or queue the Estimate missed-call revenue before a demo profile update on Google Business Profile.,Use the restaurant missed-call revenue calculator to estimate how much weekly takeout revenue may be lost when staff miss calls or manually re-enter phone orders during rush hours.,"profile_post_url if available, post_destination_url, dashboard confirmation screenshot, account_or_login, submitted_date","npm run marketing:mark -- --target ""Google Business Profile"" --status submitted --date 2026-06-21 --note ""Created or claimed business profile item; capture dashboard confirmation and live URL when available."""
7,Bing Places for Business,profile_core,Serviio profile,https://serviio.ai/?utm_source=bing_places&utm_medium=organic_listing&utm_campaign=free_search_marketing,P0 profile authority and inbound restaurant-owner lead source,https://serviio.ai/authority-media-kit/,"Ask every inbound owner which POS system they use; prioritize 39 Miles, Square, Toast, Clover, MenuSifu, Chowbus, and Mealkeyway users.",business_profile,"Create or claim Bing Places for Business, add Serviio NAP, service-area fields, POS/Chinese restaurant positioning, and profile verification evidence.","Import from Google only after Google profile fields are accurate. Business description: AI phone ordering for restaurants using POS systems such as 39 Miles, Square, Toast, Clover, MenuSifu, Chowbus, and Mealkeyway. Mirror Google services and include Chinese restaurant AI phone answering. Website: use the Bing Places UTM URL if accepted. Authority media kit: https://serviio.ai/authority-media-kit/","dashboard confirmation screenshot, account_or_login, submitted_date, verification status, live profile URL when available","npm run marketing:mark -- --target ""Bing Places for Business"" --status submitted --date 2026-06-21 --note ""Created or claimed business profile item; capture dashboard confirmation and live URL when available."""
8,Bing Places for Business,product_card,39 Miles AI phone ordering,https://serviio.ai/pos/39-miles-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,POS-specific profile content that reinforces restaurant AI phone ordering relevance,https://serviio.ai/authority-media-kit/,"Ask every inbound owner which POS system they use; prioritize 39 Miles, Square, Toast, Clover, MenuSifu, Chowbus, and Mealkeyway users.",business_profile,"Add 39 Miles AI phone ordering as a product, service, or showcase card on Bing Places for Business.","AI phone ordering workflow for Chinese restaurants using 39 Miles POS. Serviio answers calls, captures order details, and qualifies POS-ready workflows for takeout-heavy restaurants.","product_card_url if available, product_destination_url, dashboard confirmation screenshot, account_or_login, submitted_date","npm run marketing:mark -- --target ""Bing Places for Business"" --status submitted --date 2026-06-21 --note ""Created or claimed business profile item; capture dashboard confirmation and live URL when available."""
9,Bing Places for Business,product_card,MenuSifu AI phone ordering,https://serviio.ai/pos/menusifu-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,POS-specific profile content that reinforces restaurant AI phone ordering relevance,https://serviio.ai/authority-media-kit/,"Ask every inbound owner which POS system they use; prioritize 39 Miles, Square, Toast, Clover, MenuSifu, Chowbus, and Mealkeyway users.",business_profile,"Add MenuSifu AI phone ordering as a product, service, or showcase card on Bing Places for Business.",AI phone ordering workflow for Chinese restaurants using MenuSifu POS. Serviio helps bilingual callers place phone orders while staff focus on dine-in and kitchen operations.,"product_card_url if available, product_destination_url, dashboard confirmation screenshot, account_or_login, submitted_date","npm run marketing:mark -- --target ""Bing Places for Business"" --status submitted --date 2026-06-21 --note ""Created or claimed business profile item; capture dashboard confirmation and live URL when available."""
10,Bing Places for Business,profile_post,AI phone ordering for POS-ready restaurants,https://serviio.ai/chinese-restaurant-pos-ai-phone-agent/?utm_source=business_profile_post&utm_medium=organic_listing&utm_campaign=free_search_marketing,POS-specific profile content that reinforces restaurant AI phone ordering relevance,https://serviio.ai/authority-media-kit/,"Ask every inbound owner which POS system they use; prioritize 39 Miles, Square, Toast, Clover, MenuSifu, Chowbus, and Mealkeyway users.",business_profile,Publish or queue the AI phone ordering for POS-ready restaurants profile update on Bing Places for Business.,"Serviio helps restaurants answer phone orders 24/7, capture pickup details, and evaluate POS-ready workflows for systems such as 39 Miles, Square, Toast, Clover, MenuSifu, Chowbus, and Mealkeyway.","profile_post_url if available, post_destination_url, dashboard confirmation screenshot, account_or_login, submitted_date","npm run marketing:mark -- --target ""Bing Places for Business"" --status submitted --date 2026-06-21 --note ""Created or claimed business profile item; capture dashboard confirmation and live URL when available."""
11,Apple Business Connect,profile_core,Serviio profile,https://serviio.ai/?utm_source=apple_business_connect&utm_medium=organic_listing&utm_campaign=free_search_marketing,P0 profile authority and inbound restaurant-owner lead source,https://serviio.ai/authority-media-kit/,"Ask every inbound owner which POS system they use; prioritize 39 Miles, Square, Toast, Clover, MenuSifu, Chowbus, and Mealkeyway users.",business_profile,"Create or claim Apple Business Connect, add Serviio NAP, service-area fields, POS/Chinese restaurant positioning, and profile verification evidence.","Business description: Serviio helps restaurants answer phone orders with AI, qualify POS-ready workflows, and reduce missed calls during rush hours. Action link: https://serviio.ai/chinese-restaurant-pos-ai-phone-agent/?utm_source=apple_business_connect&utm_medium=organic_listing&utm_campaign=free_search_marketing Showcase: start with 39 Miles AI phone ordering or MenuSifu AI phone ordering. Authority media kit: https://serviio.ai/authority-media-kit/","dashboard confirmation screenshot, account_or_login, submitted_date, verification status, live profile URL when available","npm run marketing:mark -- --target ""Apple Business Connect"" --status submitted --date 2026-06-21 --note ""Created or claimed business profile item; capture dashboard confirmation and live URL when available."""
