profile_item_type,profile_platform,item_name,destination_url,evidence_url,account_or_login,screenshot_or_dashboard_confirmation,submitted_date,live_date,follow_up_date
profile_core,Google Business Profile,Serviio profile,https://serviio.ai/?utm_source=google_business_profile&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
product_card,Google Business Profile,39 Miles AI phone ordering,https://serviio.ai/pos/39-miles-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
product_card,Google Business Profile,Square AI phone ordering,https://serviio.ai/pos/square-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
product_card,Google Business Profile,Toast AI phone ordering,https://serviio.ai/pos/toast-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
product_card,Google Business Profile,Clover AI phone ordering,https://serviio.ai/pos/clover-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
product_card,Google Business Profile,MenuSifu AI phone ordering,https://serviio.ai/pos/menusifu-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
product_card,Google Business Profile,Chowbus AI phone ordering,https://serviio.ai/pos/chowbus-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
product_card,Google Business Profile,Mealkeyway AI phone ordering,https://serviio.ai/pos/mealkeyway-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
profile_post,Google Business Profile,AI phone ordering for POS-ready restaurants,https://serviio.ai/chinese-restaurant-pos-ai-phone-agent/?utm_source=business_profile_post&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
profile_post,Google Business Profile,Bilingual phone answering for Chinese restaurants,https://serviio.ai/chinese-restaurant-ai-phone-ordering/?utm_source=business_profile_post&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
profile_post,Google Business Profile,Estimate missed-call revenue before a demo,https://serviio.ai/restaurant-missed-call-revenue-calculator/?utm_source=business_profile_post&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
profile_core,Bing Places for Business,Serviio profile,https://serviio.ai/?utm_source=bing_places&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
product_card,Bing Places for Business,39 Miles AI phone ordering,https://serviio.ai/pos/39-miles-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
product_card,Bing Places for Business,Square AI phone ordering,https://serviio.ai/pos/square-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
product_card,Bing Places for Business,Toast AI phone ordering,https://serviio.ai/pos/toast-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
product_card,Bing Places for Business,Clover AI phone ordering,https://serviio.ai/pos/clover-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
product_card,Bing Places for Business,MenuSifu AI phone ordering,https://serviio.ai/pos/menusifu-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
product_card,Bing Places for Business,Chowbus AI phone ordering,https://serviio.ai/pos/chowbus-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
product_card,Bing Places for Business,Mealkeyway AI phone ordering,https://serviio.ai/pos/mealkeyway-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
profile_post,Bing Places for Business,AI phone ordering for POS-ready restaurants,https://serviio.ai/chinese-restaurant-pos-ai-phone-agent/?utm_source=business_profile_post&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
profile_post,Bing Places for Business,Bilingual phone answering for Chinese restaurants,https://serviio.ai/chinese-restaurant-ai-phone-ordering/?utm_source=business_profile_post&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
profile_post,Bing Places for Business,Estimate missed-call revenue before a demo,https://serviio.ai/restaurant-missed-call-revenue-calculator/?utm_source=business_profile_post&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
profile_core,Apple Business Connect,Serviio profile,https://serviio.ai/?utm_source=apple_business_connect&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
product_card,Apple Business Connect,39 Miles AI phone ordering,https://serviio.ai/pos/39-miles-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
product_card,Apple Business Connect,Square AI phone ordering,https://serviio.ai/pos/square-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
product_card,Apple Business Connect,Toast AI phone ordering,https://serviio.ai/pos/toast-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
product_card,Apple Business Connect,Clover AI phone ordering,https://serviio.ai/pos/clover-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
product_card,Apple Business Connect,MenuSifu AI phone ordering,https://serviio.ai/pos/menusifu-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
product_card,Apple Business Connect,Chowbus AI phone ordering,https://serviio.ai/pos/chowbus-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
product_card,Apple Business Connect,Mealkeyway AI phone ordering,https://serviio.ai/pos/mealkeyway-ai-phone-ordering/?utm_source=business_profile_product&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
profile_post,Apple Business Connect,AI phone ordering for POS-ready restaurants,https://serviio.ai/chinese-restaurant-pos-ai-phone-agent/?utm_source=business_profile_post&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
profile_post,Apple Business Connect,Bilingual phone answering for Chinese restaurants,https://serviio.ai/chinese-restaurant-ai-phone-ordering/?utm_source=business_profile_post&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
profile_post,Apple Business Connect,Estimate missed-call revenue before a demo,https://serviio.ai/restaurant-missed-call-revenue-calculator/?utm_source=business_profile_post&utm_medium=organic_listing&utm_campaign=free_search_marketing,,,,,,
