priority,cluster,query,target_page,target_url,target_position,current_position,current_clicks,current_impressions,current_ctr,last_checked,status,next_action,authority_target
P1,Chinese restaurant,chinese restaurant ai phone ordering,/chinese-restaurant-ai-phone-ordering/,https://serviio.ai/chinese-restaurant-ai-phone-ordering/,1-10,,,,,,needs_search_console_data,Track weekly position and CTR; use query as anchor text for the target page.,Chinese restaurant POS consultants
P1,Chinese restaurant,ai phone answering for chinese restaurants,/chinese-restaurant-phone-answering-service/,https://serviio.ai/chinese-restaurant-phone-answering-service/,1-10,,,,,,needs_search_console_data,Track weekly position and CTR; use query as anchor text for the target page.,Chinese restaurant POS consultants
P1,Chinese restaurant,chinese restaurant phone answering service,/chinese-restaurant-phone-answering-service/,https://serviio.ai/chinese-restaurant-phone-answering-service/,1-10,,,,,,needs_search_console_data,Track weekly position and CTR; use query as anchor text for the target page.,Chinese restaurant POS consultants
P1,Chinese restaurant,phone answering service for chinese restaurants,/chinese-restaurant-phone-answering-service/,https://serviio.ai/chinese-restaurant-phone-answering-service/,1-10,,,,,,needs_search_console_data,Track weekly position and CTR; use query as anchor text for the target page.,Chinese restaurant POS consultants
P2,Phone answering,ai phone answering service for restaurants,/restaurant-phone-answering-service/,https://serviio.ai/restaurant-phone-answering-service/,1-10,,,,,,needs_search_console_data,Track weekly position and CTR; use query as anchor text for the target page.,Restaurant website agencies
P2,Phone answering,restaurant ai phone answering service,/restaurant-phone-answering-service/,https://serviio.ai/restaurant-phone-answering-service/,1-10,,,,,,needs_search_console_data,Track weekly position and CTR; use query as anchor text for the target page.,Restaurant website agencies
P1,Order taking,restaurant ai phone order taker,/restaurant-ai-phone-order-taker/,https://serviio.ai/restaurant-ai-phone-order-taker/,1-10,,,,,,needs_search_console_data,Track weekly position and CTR; use query as anchor text for the target page.,Restaurant POS and automation directories
P1,Order taking,restaurant phone order taker ai,/restaurant-ai-phone-order-taker/,https://serviio.ai/restaurant-ai-phone-order-taker/,1-10,,,,,,needs_search_console_data,Track weekly position and CTR; use query as anchor text for the target page.,Restaurant POS and automation directories
P2,Order taking,ai order taker for restaurant phone calls,/restaurant-ai-phone-order-taker/,https://serviio.ai/restaurant-ai-phone-order-taker/,1-10,,,,,,needs_search_console_data,Track weekly position and CTR; use query as anchor text for the target page.,Restaurant POS and automation directories
P2,Order taking,restaurant voice ordering system,/ai-voice-assistant-for-restaurants/,https://serviio.ai/ai-voice-assistant-for-restaurants/,1-10,,,,,,needs_search_console_data,Track weekly position and CTR; use query as anchor text for the target page.,Restaurant POS and automation directories
P1,Order taking,restaurant phone ordering system,/restaurant-ai-assistant/,https://serviio.ai/restaurant-ai-assistant/,1-10,,,,,,needs_search_console_data,Track weekly position and CTR; use query as anchor text for the target page.,Restaurant POS and automation directories
P1,Order taking,phone ordering system for restaurants,/restaurant-ai-assistant/,https://serviio.ai/restaurant-ai-assistant/,1-10,,,,,,needs_search_console_data,Track weekly position and CTR; use query as anchor text for the target page.,Restaurant POS and automation directories
P1,POS integration,restaurant pos phone order integration,/restaurant-pos-phone-order-integration/,https://serviio.ai/restaurant-pos-phone-order-integration/,1-10,,,,,,needs_search_console_data,Add exact-anchor internal links and prioritize POS directory/consultant authority.,Restaurant POS and automation directories
P1,POS integration,pos integrated ai phone agent,/restaurant-pos-phone-order-integration/,https://serviio.ai/restaurant-pos-phone-order-integration/,1-10,,,,,,needs_search_console_data,Add exact-anchor internal links and prioritize POS directory/consultant authority.,Restaurant POS and automation directories
P1,POS integration,restaurant phone order ai pos,/restaurant-pos-phone-order-integration/,https://serviio.ai/restaurant-pos-phone-order-integration/,1-10,,,,,,needs_search_console_data,Add exact-anchor internal links and prioritize POS directory/consultant authority.,Restaurant POS and automation directories
P1,POS integration,restaurant ai pos integration,/restaurant-pos-phone-order-integration/,https://serviio.ai/restaurant-pos-phone-order-integration/,1-10,,,,,,needs_search_console_data,Add exact-anchor internal links and prioritize POS directory/consultant authority.,Restaurant POS and automation directories
P1,POS system research,restaurant pos system phone orders,/restaurant-pos-phone-order-integration/,https://serviio.ai/restaurant-pos-phone-order-integration/,1-10,,,,,,needs_search_console_data,Use as POS referral lead path; connect no-POS leads to partner follow-up.,POS consultants
P1,POS integration,restaurant POS phone order automation,/restaurant-pos-phone-order-integration/,https://serviio.ai/restaurant-pos-phone-order-integration/,1-10,,,,,,needs_search_console_data,Add exact-anchor internal links and prioritize POS directory/consultant authority.,Restaurant POS and automation directories
P1,POS integration,AI phone ordering for existing POS,/restaurant-pos-phone-order-integration/,https://serviio.ai/restaurant-pos-phone-order-integration/,1-10,,,,,,needs_search_console_data,Add exact-anchor internal links and prioritize POS directory/consultant authority.,Restaurant POS and automation directories
P1,POS integration,phone orders connected to restaurant POS,/restaurant-pos-phone-order-integration/,https://serviio.ai/restaurant-pos-phone-order-integration/,1-10,,,,,,needs_search_console_data,Add exact-anchor internal links and prioritize POS directory/consultant authority.,Restaurant POS and automation directories
P1,POS integration,restaurant POS integration service,/restaurant-pos-phone-order-integration/,https://serviio.ai/restaurant-pos-phone-order-integration/,1-10,,,,,,needs_search_console_data,Add exact-anchor internal links and prioritize POS directory/consultant authority.,Restaurant POS and automation directories
P1,POS integration,restaurant POS integration checklist,/restaurant-pos-phone-order-integration/,https://serviio.ai/restaurant-pos-phone-order-integration/,1-10,,,,,,needs_search_console_data,Add exact-anchor internal links and prioritize POS directory/consultant authority.,Restaurant POS and automation directories
P1,POS integration,Chinese restaurant POS integration checklist,/restaurant-pos-phone-order-integration/,https://serviio.ai/restaurant-pos-phone-order-integration/,1-10,,,,,,needs_search_console_data,Add exact-anchor internal links and prioritize POS directory/consultant authority.,Restaurant POS and automation directories
P1,POS integration,AI phone ordering POS readiness checklist,/restaurant-pos-phone-order-integration/,https://serviio.ai/restaurant-pos-phone-order-integration/,1-10,,,,,,needs_search_console_data,Add exact-anchor internal links and prioritize POS directory/consultant authority.,Restaurant POS and automation directories
P1,POS integration,how to connect phone orders to POS,/guides/connect-phone-orders-to-pos/,https://serviio.ai/guides/connect-phone-orders-to-pos/,1-10,,,,,,needs_search_console_data,Add exact-anchor internal links and prioritize POS directory/consultant authority.,Restaurant POS and automation directories
P1,Order taking,restaurant phone order automation,/restaurant-phone-order-automation/,https://serviio.ai/restaurant-phone-order-automation/,1-10,,,,,,needs_search_console_data,Track weekly position and CTR; use query as anchor text for the target page.,Restaurant POS and automation directories
